JOBID=28562
Size, Timepoint Index, Time
64K, End, 85, 6.0445e-05
64K, End, 86, 6.2466e-05
64K, End, 87, 6.1993e-05
64K, End, 88, 6.1523e-05
64K, End, 89, 6.0748e-05
64K, End, 90, 6.0521e-05
64K, End, 91, 6.027e-05
64K, End, 92, 6.2231e-05
64K, End, 93, 6.132e-05
64K, End, 94, 6.0691e-05
64K, End, 95, 6.1399e-05
64K, End, 96, 6.1901e-05
64K, End, 97, 6.2082e-05
64K, End, 98, 6.0575e-05
64K, End, 99, 5.9236e-05
64K, End, 100, 6.0769e-05
128K, End, 1, 9.1038e-05
128K, End, 2, 9.1768e-05
128K, End, 3, 9.1857e-05
128K, End, 4, 9.0494e-05
128K, End, 5, 9.1564e-05
128K, End, 6, 9.1338e-05
128K, End, 7, 9.0445e-05
128K, End, 8, 8.93e-05
128K, End, 9, 9.1429e-05
128K, End, 10, 9.5957e-05
128K, End, 11, 9.0028e-05
128K, End, 12, 9.2133e-05
128K, End, 13, 9.1596e-05
128K, End, 14, 9.2705e-05
128K, End, 15, 9.1353e-05
128K, End, 16, 8.9666e-05
128K, End, 17, 9.1967e-05
128K, End, 18, 8.9577e-05
128K, End, 19, 9.5896e-05
128K, End, 20, 9.0456e-05
128K, End, 21, 8.9807e-05
128K, End, 22, 0.000101284
128K, End, 23, 8.8962e-05
128K, End, 24, 9.4183e-05
128K, End, 25, 8.9783e-05
128K, End, 26, 8.9931e-05
128K, End, 27, 8.8358e-05
128K, End, 28, 9.4731e-05
128K, End, 29, 8.8241e-05
128K, End, 30, 8.8526e-05
128K, End, 31, 8.9335e-05
128K, End, 32, 8.9406e-05
128K, End, 33, 8.7542e-05
128K, End, 34, 9.127e-05
128K, End, 35, 9.287e-05
128K, End, 36, 8.8206e-05
128K, End, 37, 8.2459e-05
128K, End, 38, 8.1538e-05
128K, End, 39, 8.2143e-05
128K, End, 40, 8.2613e-05
128K, End, 41, 8.2785e-05
128K, End, 42, 8.3014e-05
128K, End, 43, 8.2571e-05
128K, End, 44, 8.1886e-05
128K, End, 45, 8.225e-05
128K, End, 46, 8.3341e-05
128K, End, 47, 8.3708e-05
128K, End, 48, 8.3566e-05
