JOBID=28568
Size, Timepoint Index, Time
16K, End, 60, 1.3466e-05
16K, End, 61, 1.3194e-05
16K, End, 62, 1.3364e-05
16K, End, 63, 1.3341e-05
16K, End, 64, 1.3342e-05
16K, End, 65, 1.3382e-05
16K, End, 66, 1.3289e-05
16K, End, 67, 1.3395e-05
16K, End, 68, 1.3385e-05
16K, End, 69, 1.2967e-05
16K, End, 70, 1.3092e-05
16K, End, 71, 1.2983e-05
16K, End, 72, 1.3266e-05
16K, End, 73, 1.3123e-05
16K, End, 74, 1.294e-05
16K, End, 75, 1.3e-05
16K, End, 76, 1.3099e-05
16K, End, 77, 1.3179e-05
16K, End, 78, 1.3094e-05
16K, End, 79, 1.308e-05
16K, End, 80, 1.3063e-05
16K, End, 81, 1.3133e-05
16K, End, 82, 1.2965e-05
16K, End, 83, 1.312e-05
16K, End, 84, 1.2981e-05
16K, End, 85, 1.3312e-05
16K, End, 86, 1.2938e-05
16K, End, 87, 1.3041e-05
16K, End, 88, 1.3216e-05
16K, End, 89, 1.3335e-05
16K, End, 90, 1.3133e-05
16K, End, 91, 1.3028e-05
16K, End, 92, 1.3075e-05
16K, End, 93, 1.2891e-05
16K, End, 94, 1.2901e-05
16K, End, 95, 1.3081e-05
16K, End, 96, 1.313e-05
16K, End, 97, 1.308e-05
16K, End, 98, 1.3087e-05
16K, End, 99, 1.2985e-05
16K, End, 100, 1.3245e-05
32K, End, 1, 2.3363e-05
32K, End, 2, 2.3321e-05
32K, End, 3, 2.3432e-05
32K, End, 4, 2.3086e-05
32K, End, 5, 2.2121e-05
32K, End, 6, 2.2357e-05
32K, End, 7, 2.3399e-05
32K, End, 8, 2.3263e-05
32K, End, 9, 2.2701e-05
32K, End, 10, 2.3738e-05
32K, End, 11, 2.2579e-05
32K, End, 12, 2.3672e-05
32K, End, 13, 2.2187e-05
32K, End, 14, 2.3646e-05
32K, End, 15, 2.2926e-05
32K, End, 16, 2.3826e-05
32K, End, 17, 2.281e-05
32K, End, 18, 2.3829e-05
32K, End, 19, 2.3029e-05
32K, End, 20, 2.3911e-05
32K, End, 21, 2.3424e-05
32K, End, 22, 2.4563e-05
32K, End, 23, 2.398e-05
32K, End, 24, 2.3487e-05
32K, End, 25, 2.3025e-05
32K, End, 26, 2.2659e-05
32K, End, 27, 2.2569e-05
32K, End, 28, 2.2859e-05
32K, End, 29, 2.2743e-05
32K, End, 30, 2.324e-05
32K, End, 31, 2.2991e-05
32K, End, 32, 2.3265e-05
32K, End, 33, 2.2826e-05
32K, End, 34, 2.2508e-05
32K, End, 35, 2.2389e-05
32K, End, 36, 2.2019e-05
32K, End, 37, 2.2164e-05
32K, End, 38, 2.276e-05
32K, End, 39, 2.2836e-05
32K, End, 40, 2.3044e-05
32K, End, 41, 2.2255e-05
32K, End, 42, 2.2298e-05
32K, End, 43, 2.2485e-05
32K, End, 44, 2.2291e-05
32K, End, 45, 2.3105e-05
32K, End, 46, 2.2988e-05
32K, End, 47, 2.2896e-05
32K, End, 48, 2.2443e-05
32K, End, 49, 2.2045e-05
32K, End, 50, 2.2812e-05
32K, End, 51, 2.2493e-05
32K, End, 52, 2.3052e-05
32K, End, 53, 2.236e-05
32K, End, 54, 2.318e-05
32K, End, 55, 2.2645e-05
32K, End, 56, 2.316e-05
32K, End, 57, 2.2246e-05
32K, End, 58, 2.2581e-05
32K, End, 59, 2.3408e-05
32K, End, 60, 2.227e-05
32K, End, 61, 2.1893e-05
32K, End, 62, 2.2605e-05
32K, End, 63, 2.239e-05
32K, End, 64, 2.2324e-05
32K, End, 65, 2.17e-05
32K, End, 66, 2.2176e-05
32K, End, 67, 2.2343e-05
32K, End, 68, 3.5819e-05
32K, End, 69, 2.2298e-05
32K, End, 70, 2.2387e-05
32K, End, 71, 2.2298e-05
32K, End, 72, 2.1829e-05
32K, End, 73, 2.2011e-05
32K, End, 74, 2.2511e-05
32K, End, 75, 2.2535e-05
32K, End, 76, 2.1969e-05
32K, End, 77, 2.1912e-05
32K, End, 78, 2.1815e-05
32K, End, 79, 2.193e-05
32K, End, 80, 2.151e-05
32K, End, 81, 2.2517e-05
