JOBID=30313
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/non-contiguous/upcxx_rput_non_contiguous --chunk-size 4 --in-stride 8 --out-inter-chunk-stride 8 --repetitions 200 -m root -q --warmup-repetitions 200
Rank, Total-size, Chunk-size, Chunks-per-rank, In-stride, Size-per-rank, Out-inter-chunk-stride, Out-inter-rank-stride, Timepoint, Index, Time
0, 8, 4, 1, 8, 4, 8, 12, End, 190, 1.661e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 191, 1.388e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 192, 1.325e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 193, 1.342e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 194, 1.511e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 195, 4.087e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 196, 1.437e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 197, 1.43e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 198, 1.583e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 199, 1.821e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 200, 1.521e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 1, 2.392e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 2, 2.395e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 3, 2.423e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 4, 2.409e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 5, 1.586e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 6, 2.593e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 7, 1.524e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 8, 1.175e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 9, 2.345e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 10, 2.409e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 11, 2.208e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 12, 2.261e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 13, 2.224e-06
